Lv.,Move,Type,Cat.,Power,Acc.
1.0,Absorb,Grass,,20,100
1.0,After You,Normal,,—,—
1.0,Ingrain,Grass,,—,—
1.0,Peck,Flying,,35,100
1.0,Spiky Shield,Grass,,—,—
4.0,Growth,Normal,,—,—
8.0,Mega Drain,Grass,,40,100
12.0,Leech Seed,Grass,,—,90
16.0,Sucker Punch,Dark,,70,100
20.0,Pin Missile,Bug,,25,95
24.0,Giga Drain,Grass,,75,100
28.0,Sweet Scent,Normal,,—,100
32.0,Synthesis,Grass,,—,—
36.0,Petal Blizzard,Grass,,90,100
40.0,Cotton Spore,Grass,,—,100
44.0,Sunny Day,Fire,,—,—
48.0,Solar Beam,Grass,,120,100
52.0,Acupressure,Normal,,—,—
56.0,Petal Dance,Grass,,120,100
60.0,Cotton Guard,Grass,,—,—
