Lv.,Move,Type,Cat.,Power,Acc.
1.0,Flail,Normal,,—,100
1.0,Splash,Normal,,—,—
1.0,Tackle,Normal,,40,100
1.0,Water Gun,Water,,40,100
1.0,Water Pulse,Water,,60,100
1.0,Wrap,Normal,,15,90
4.0,Disarming Voice,Fairy,,40,∞
8.0,Twister,Dragon,,40,100
12.0,Aqua Ring,Water,,—,—
16.0,Attract,Normal,,—,100
20.0,Life Dew,Water,,—,—
24.0,Dragon Tail,Dragon,,60,90
28.0,Recover,Normal,,—,—
32.0,Aqua Tail,Water,,90,90
36.0,Safeguard,Normal,,—,—
40.0,Surf,Water,,90,100
44.0,Rain Dance,Water,,—,—
48.0,Coil,Poison,,—,—
52.0,Hydro Pump,Water,,110,80
