Lv.,Move,Type,Cat.,Power,Acc.
1.0,Copycat,Normal,,—,—
1.0,Pound,Normal,,40,100
4.0,Baton Pass,Normal,,—,—
8.0,Encore,Normal,,—,100
12.0,Confusion,Psychic,,50,100
16.0,Role Play,Psychic,,—,—
20.0,Protect,Normal,,—,—
24.0,Recycle,Normal,,—,—
28.0,Psybeam,Psychic,,65,100
32.0,Mimic,Normal,,—,—
36.0,Light Screen,Psychic,,—,—
36.0,Reflect,Psychic,,—,—
36.0,Safeguard,Normal,,—,—
40.0,Sucker Punch,Dark,,70,100
44.0,Dazzling Gleam,Fairy,,80,100
48.0,Psychic,Psychic,,90,100
52.0,Teeter Dance,Normal,,—,100
