Lv.,Move,Type,Cat.,Power,Acc.
1.0,Aerial Ace,Flying,,60,∞
1.0,Baton Pass,Normal,,—,—
1.0,Dig,Ground,,80,100
1.0,Double Team,Normal,,—,—
1.0,False Swipe,Normal,,40,100
1.0,Fury Cutter,Bug,,40,95
1.0,Harden,Normal,,—,—
1.0,Metal Claw,Steel,,50,95
1.0,Mud-Slap,Ground,,20,100
1.0,Sand Attack,Ground,,—,100
1.0,Scratch,Normal,,40,100
1.0,Screech,Normal,,—,85
15.0,Agility,Psychic,,—,—
23.0,Absorb,Grass,,20,100
29.0,Bug Bite,Bug,,60,100
36.0,Fury Swipes,Normal,,18,80
43.0,Mind Reader,Normal,,—,—
50.0,Slash,Normal,,70,100
57.0,Swords Dance,Normal,,—,—
64.0,X-Scissor,Bug,,80,100
