Lv.,Move,Type,Cat.,Power,Acc.
1.0,Growl,Normal,,—,100
1.0,Nuzzle,Electric,,20,100
1.0,Play Nice,Normal,,—,—
1.0,Quick Attack,Normal,,40,100
1.0,Thunder Wave,Electric,,—,90
4.0,Helping Hand,Normal,,—,—
7.0,Spark,Electric,,65,100
10.0,Encore,Normal,,—,100
13.0,Bestow,Normal,,—,—
16.0,Swift,Normal,,60,∞
19.0,Electro Ball,Electric,,—,100
22.0,Copycat,Normal,,—,—
25.0,Charm,Fairy,,—,100
28.0,Charge,Electric,,—,—
31.0,Discharge,Electric,,80,100
34.0,Baton Pass,Normal,,—,—
37.0,Agility,Psychic,,—,—
40.0,Last Resort,Normal,,140,100
43.0,Thunder,Electric,,110,70
46.0,Nasty Plot,Dark,,—,—
49.0,Entrainment,Normal,,—,100
