Lv.,Move,Type,Cat.,Power,Acc.
1.0,Conversion,Normal,,—,—
1.0,Defense Curl,Normal,,—,—
1.0,Magnet Rise,Electric,,—,—
1.0,Nasty Plot,Dark,,—,—
1.0,Recycle,Normal,,—,—
1.0,Tackle,Normal,,40,100
1.0,Trick Room,Psychic,,—,—
15.0,Thunder Shock,Electric,,40,100
20.0,Psybeam,Psychic,,65,100
25.0,Conversion 2,Normal,,—,—
30.0,Agility,Psychic,,—,—
35.0,Recover,Normal,,—,—
40.0,Discharge,Electric,,80,100
45.0,Tri Attack,Normal,,80,100
50.0,Magic Coat,Psychic,,—,—
55.0,Lock-On,Normal,,—,—
60.0,Zap Cannon,Electric,,120,50
65.0,Hyper Beam,Normal,,150,90
