Lv.,Move,Type,Cat.,Power,Acc.
1.0,Block,Normal,,—,—
1.0,Gravity,Psychic,,—,—
1.0,Iron Defense,Steel,,—,—
1.0,Magnet Bomb,Steel,,60,∞
1.0,Magnet Rise,Electric,,—,—
1.0,Magnetic Flux,Electric,,—,—
1.0,Tackle,Normal,,40,100
1.0,Tri Attack,Normal,,80,100
1.0,Wide Guard,Rock,,—,—
4.0,Iron Defense,Steel,,—,—
7.0,Block,Normal,,—,—
10.0,Magnet Bomb,Steel,,60,∞
13.0,Thunder Wave,Electric,,—,90
16.0,Rest,Psychic,,—,—
19.0,Spark,Electric,,65,100
22.0,Rock Slide,Rock,,75,90
25.0,Power Gem,Rock,,80,100
28.0,Rock Blast,Rock,,25,90
31.0,Discharge,Electric,,80,100
34.0,Sandstorm,Rock,,—,—
37.0,Earth Power,Ground,,90,100
40.0,Stone Edge,Rock,,100,80
43.0,Lock-On,Normal,,—,—
43.0,Zap Cannon,Electric,,120,50
