Lv.,Move,Type,Cat.,Power,Acc.
1.0,Iron Defense,Steel,,—,—
1.0,Leer,Normal,,—,100
1.0,Payback,Dark,,50,100
1.0,Rock Throw,Rock,,50,90
1.0,Tackle,Normal,,40,100
9.0,Bite,Dark,,60,100
12.0,Scary Face,Normal,,—,100
15.0,Rock Slide,Rock,,75,90
18.0,Stomping Tantrum,Ground,,75,100
21.0,Screech,Normal,,—,85
24.0,Dark Pulse,Dark,,80,100
27.0,Crunch,Dark,,80,100
33.0,Earthquake,Ground,,100,100
37.0,Stone Edge,Rock,,100,80
42.0,Thrash,Normal,,120,100
47.0,Sandstorm,Rock,,—,—
52.0,Hyper Beam,Normal,,150,90
