Lv.,Move,Type,Cat.,Power,Acc.
1.0,Poison Sting,Poison,,15,100
1.0,Tackle,Normal,,40,100
4.0,Harden,Normal,,—,—
8.0,Water Gun,Water,,40,100
12.0,Fell Stinger,Bug,,50,100
16.0,Minimize,Normal,,—,—
20.0,Spikes,Ground,,—,—
24.0,Brine,Water,,65,100
28.0,Revenge,Fighting,,60,100
32.0,Pin Missile,Bug,,25,95
36.0,Toxic Spikes,Poison,,—,—
40.0,Poison Jab,Poison,,80,100
44.0,Spit Up,Normal,,—,100
44.0,Stockpile,Normal,,—,—
48.0,Take Down,Normal,,90,85
52.0,Toxic,Poison,,—,90
56.0,Aqua Tail,Water,,90,90
60.0,Acupressure,Normal,,—,—
66.0,Destiny Bond,Ghost,,—,—
