Lv.,Move,Type,Cat.,Power,Acc.
1.0,Agility,Psychic,,—,—
1.0,Charm,Fairy,,—,100
1.0,Discharge,Electric,,80,100
1.0,Double Team,Normal,,—,—
1.0,Electro Ball,Electric,,—,100
1.0,Feint,Normal,,30,100
1.0,Growl,Normal,,—,100
1.0,Light Screen,Psychic,,—,—
1.0,Nasty Plot,Dark,,—,—
1.0,Nuzzle,Electric,,20,100
1.0,Play Nice,Normal,,—,—
1.0,Quick Attack,Normal,,40,100
1.0,Slam,Normal,,80,75
1.0,Spark,Electric,,65,100
1.0,Sweet Kiss,Fairy,,—,75
1.0,Tail Whip,Normal,,—,100
1.0,Thunder,Electric,,110,70
1.0,Thunder Punch,Electric,,75,100
1.0,Thunder Shock,Electric,,40,100
1.0,Thunder Wave,Electric,,—,90
1.0,Thunderbolt,Electric,,90,100
