Lv.,Move,Type,Cat.,Power,Acc.
1.0,Absorb,Grass,,20,100
1.0,Aromatherapy,Grass,,—,—
1.0,Giga Drain,Grass,,75,100
1.0,Grassy Terrain,Grass,,—,—
1.0,Growth,Normal,,—,—
1.0,Ingrain,Grass,,—,—
1.0,Leech Seed,Grass,,—,90
1.0,Magical Leaf,Grass,,60,∞
1.0,Mega Drain,Grass,,40,100
1.0,Petal Blizzard,Grass,,90,100
1.0,Petal Dance,Grass,,120,100
1.0,Poison Sting,Poison,,15,100
1.0,Stun Spore,Grass,,—,75
1.0,Sweet Scent,Normal,,—,100
1.0,Synthesis,Grass,,—,—
1.0,Toxic,Poison,,—,90
1.0,Toxic Spikes,Poison,,—,—
1.0,Venom Drench,Poison,,—,100
1.0,Worry Seed,Grass,,—,100
