Lv.,Move,Type,Cat.,Power,Acc.
1.0,Leer,Normal,,—,100
1.0,Scratch,Normal,,40,100
3.0,Astonish,Ghost,,30,100
6.0,Confuse Ray,Ghost,,—,100
9.0,Shadow Sneak,Ghost,,40,100
12.0,Fake Out,Normal,,40,100
15.0,Disable,Normal,,—,100
18.0,Detect,Fighting,,—,—
21.0,Night Shade,Ghost,,—,100
24.0,Fury Swipes,Normal,,18,80
27.0,Knock Off,Dark,,65,100
30.0,Quash,Dark,,—,100
33.0,Shadow Claw,Ghost,,70,100
36.0,Mean Look,Normal,,—,—
39.0,Power Gem,Rock,,80,100
42.0,Zen Headbutt,Psychic,,80,90
45.0,Shadow Ball,Ghost,,80,100
48.0,Foul Play,Dark,,95,100
