Lv.,Move,Type,Cat.,Power,Acc.
1.0,Bite,Dark,,60,100
1.0,Dragon Tail,Dragon,,60,90
1.0,Ember,Fire,,40,100
1.0,Fire Fang,Fire,,65,95
1.0,Fly,Flying,,90,95
1.0,Leer,Normal,,—,100
1.0,Protect,Normal,,—,—
1.0,Rage,Normal,,20,100
1.0,Thunder Fang,Electric,,65,95
4.0,Ember,Fire,,40,100
7.0,Leer,Normal,,—,100
10.0,Bite,Dark,,60,100
13.0,Dragon Breath,Dragon,,60,100
17.0,Headbutt,Normal,,70,100
21.0,Focus Energy,Normal,,—,—
25.0,Crunch,Dark,,80,100
29.0,Dragon Claw,Dragon,,80,100
35.0,Zen Headbutt,Psychic,,80,90
42.0,Scary Face,Normal,,—,100
49.0,Flamethrower,Fire,,90,100
63.0,Double-Edge,Normal,,120,100
