Lv.,Move,Type,Cat.,Power,Acc.
1.0,Megahorn,Bug,,120,85
1.0,Slash,Normal,,70,100
1.0,Tackle,Normal,,40,100
1.0,Tail Whip,Normal,,—,100
1.0,Water Gun,Water,,40,100
1.0,Water Sport,Water,,—,—
5.0,Tail Whip,Normal,,—,100
7.0,Water Gun,Water,,40,100
11.0,Water Sport,Water,,—,—
13.0,Focus Energy,Normal,,—,—
18.0,Razor Shell,Water,,75,95
21.0,Fury Cutter,Bug,,40,95
25.0,Water Pulse,Water,,60,100
29.0,Revenge,Fighting,,60,100
34.0,Aqua Jet,Water,,40,100
39.0,Encore,Normal,,—,100
46.0,Aqua Tail,Water,,90,90
51.0,Retaliate,Normal,,70,100
58.0,Swords Dance,Normal,,—,—
63.0,Hydro Pump,Water,,110,80
