Lv.,Move,Type,Cat.,Power,Acc.
1.0,Defense Curl,Normal,,—,—
1.0,Scratch,Normal,,40,100
3.0,Poison Sting,Poison,,15,100
6.0,Sand Attack,Ground,,—,100
9.0,Rollout,Rock,,30,90
12.0,Fury Cutter,Bug,,40,95
15.0,Rapid Spin,Normal,,50,100
18.0,Bulldoze,Ground,,60,100
21.0,Swift,Normal,,60,∞
24.0,Fury Swipes,Normal,,18,80
27.0,Agility,Psychic,,—,—
30.0,Slash,Normal,,70,100
33.0,Dig,Ground,,80,100
36.0,Gyro Ball,Steel,,—,100
39.0,Swords Dance,Normal,,—,—
42.0,Sandstorm,Rock,,—,—
45.0,Earthquake,Ground,,100,100
