Lv.,Move,Type,Cat.,Power,Acc.
1.0,Crush Claw,Normal,,75,95
1.0,Defense Curl,Normal,,—,—
1.0,Poison Sting,Poison,,15,100
1.0,Sand Attack,Ground,,—,100
1.0,Scratch,Normal,,40,100
9.0,Rollout,Rock,,30,90
12.0,Fury Cutter,Bug,,40,95
15.0,Rapid Spin,Normal,,50,100
18.0,Bulldoze,Ground,,60,100
21.0,Swift,Normal,,60,∞
26.0,Fury Swipes,Normal,,18,80
31.0,Sand Tomb,Ground,,35,85
36.0,Slash,Normal,,70,100
41.0,Dig,Ground,,80,100
46.0,Gyro Ball,Steel,,—,100
51.0,Swords Dance,Normal,,—,—
56.0,Sandstorm,Rock,,—,—
61.0,Earthquake,Ground,,100,100
