Lv.,Move,Type,Cat.,Power,Acc.
1.0,Agility,Psychic,,—,—
1.0,Air Slash,Flying,,75,95
1.0,Bullet Punch,Steel,,40,100
1.0,False Swipe,Normal,,40,100
1.0,Fury Cutter,Bug,,40,95
1.0,Leer,Normal,,—,100
1.0,Quick Attack,Normal,,40,100
1.0,Wing Attack,Flying,,60,100
12.0,Metal Claw,Steel,,50,95
16.0,Double Team,Normal,,—,—
20.0,Double Hit,Normal,,35,90
24.0,Slash,Normal,,70,100
28.0,Focus Energy,Normal,,—,—
32.0,Iron Defense,Steel,,—,—
36.0,Iron Head,Steel,,80,100
40.0,X-Scissor,Bug,,80,100
44.0,Laser Focus,Normal,,—,—
48.0,Swords Dance,Normal,,—,—
