Lv.,Move,Type,Cat.,Power,Acc.
1.0,Swagger,Normal,,—,85
1.0,Wrap,Normal,,15,90
4.0,Bite,Dark,,60,100
6.0,Lick,Ghost,,30,100
9.0,Poison Tail,Poison,,50,100
11.0,Feint,Normal,,30,100
14.0,Screech,Normal,,—,85
16.0,Venoshock,Poison,,65,100
19.0,Glare,Normal,,—,100
21.0,Poison Fang,Poison,,50,100
24.0,Venom Drench,Poison,,—,100
26.0,Night Slash,Dark,,70,100
29.0,Gastro Acid,Poison,,—,100
31.0,Poison Jab,Poison,,80,100
34.0,Haze,Ice,,—,—
36.0,Swords Dance,Normal,,—,—
39.0,Crunch,Dark,,80,100
41.0,Belch,Poison,,120,90
44.0,Coil,Poison,,—,—
46.0,Wring Out,Normal,,—,100
