Lv.,Move,Type,Cat.,Power,Acc.
1.0,Absorb,Grass,,20,100
1.0,Air Cutter,Flying,,60,95
1.0,Astonish,Ghost,,30,100
1.0,Explosion,Normal,,250,100
1.0,Extrasensory,Psychic,,80,100
1.0,Fake Out,Normal,,40,100
1.0,Growth,Normal,,—,—
1.0,Harden,Normal,,—,—
1.0,Hurricane,Flying,,110,70
1.0,Leaf Blade,Grass,,90,100
1.0,Leaf Tornado,Grass,,65,90
1.0,Mega Drain,Grass,,40,100
1.0,Nature Power,Normal,,—,—
1.0,Payback,Dark,,50,100
1.0,Razor Leaf,Grass,,55,95
1.0,Rollout,Rock,,30,90
1.0,Sucker Punch,Dark,,70,100
1.0,Sunny Day,Fire,,—,—
1.0,Swagger,Normal,,—,85
1.0,Synthesis,Grass,,—,—
1.0,Tackle,Normal,,40,100
1.0,Torment,Dark,,—,100
1.0,Whirlwind,Normal,,—,—
