Lv.,Move,Type,Cat.,Power,Acc.
1.0,Block,Normal,,—,—
1.0,Covet,Normal,,60,100
1.0,Defense Curl,Normal,,—,—
1.0,Flail,Normal,,—,100
1.0,Fling,Dark,,—,100
1.0,Last Resort,Normal,,140,100
1.0,Lick,Ghost,,30,100
1.0,Metronome,Normal,,—,—
1.0,Recycle,Normal,,—,—
1.0,Screech,Normal,,—,85
1.0,Stockpile,Normal,,—,—
1.0,Swallow,Normal,,—,—
1.0,Tackle,Normal,,40,100
12.0,Yawn,Normal,,—,—
16.0,Bite,Dark,,60,100
20.0,Rest,Psychic,,—,—
20.0,Sleep Talk,Normal,,—,—
20.0,Snore,Normal,,50,100
24.0,Crunch,Dark,,80,100
28.0,Body Slam,Normal,,85,100
32.0,Heavy Slam,Steel,,—,100
36.0,Amnesia,Psychic,,—,—
40.0,High Horsepower,Ground,,95,95
44.0,Hammer Arm,Fighting,,100,90
48.0,Belly Drum,Normal,,—,—
52.0,Belch,Poison,,120,90
56.0,Giga Impact,Normal,,150,90
