Lv.,Move,Type,Cat.,Power,Acc.
1.0,Bind,Normal,,15,85
1.0,Crunch,Dark,,80,100
1.0,Fire Fang,Fire,,65,95
1.0,Harden,Normal,,—,—
1.0,Ice Fang,Ice,,65,95
1.0,Rock Polish,Rock,,—,—
1.0,Rock Throw,Rock,,50,90
1.0,Tackle,Normal,,40,100
1.0,Thunder Fang,Electric,,65,95
4.0,Smack Down,Rock,,50,100
8.0,Autotomize,Steel,,—,—
12.0,Dragon Breath,Dragon,,60,100
16.0,Curse,Ghost,,—,—
20.0,Rock Slide,Rock,,75,90
24.0,Screech,Normal,,—,85
28.0,Sand Tomb,Ground,,35,85
32.0,Stealth Rock,Rock,,—,—
36.0,Slam,Normal,,80,75
40.0,Sandstorm,Rock,,—,—
44.0,Dig,Ground,,80,100
48.0,Iron Tail,Steel,,100,75
52.0,Stone Edge,Rock,,100,80
56.0,Double-Edge,Normal,,120,100
60.0,Magnet Rise,Electric,,—,—
