Lv.,Move,Type,Cat.,Power,Acc.
1.0,Bite,Dark,,60,100
1.0,Fire Fang,Fire,,65,95
1.0,Ice Fang,Ice,,65,95
1.0,Leer,Normal,,—,100
1.0,Tackle,Normal,,40,100
1.0,Thunder Fang,Electric,,65,95
1.0,Work Up,Normal,,—,—
12.0,Retaliate,Normal,,70,100
19.0,Baby-Doll Eyes,Fairy,,—,100
24.0,Play Rough,Fairy,,90,90
30.0,Crunch,Dark,,80,100
38.0,Take Down,Normal,,90,85
46.0,Helping Hand,Normal,,—,—
54.0,Reversal,Fighting,,—,100
62.0,Roar,Normal,,—,—
70.0,Last Resort,Normal,,140,100
78.0,Giga Impact,Normal,,150,90
