Lv.,Move,Type,Cat.,Power,Acc.
1.0,Copycat,Normal,,—,—
1.0,Fake Tears,Dark,,—,100
1.0,Flail,Normal,,—,100
1.0,Hammer Arm,Fighting,,100,90
1.0,Rock Throw,Rock,,50,90
1.0,Slam,Normal,,80,75
1.0,Stone Edge,Rock,,100,80
1.0,Wood Hammer,Grass,,120,100
12.0,Block,Normal,,—,—
16.0,Mimic,Normal,,—,—
20.0,Rock Tomb,Rock,,60,95
24.0,Tearful Look,Normal,,—,—
28.0,Sucker Punch,Dark,,70,100
32.0,Rock Slide,Rock,,75,90
36.0,Low Kick,Fighting,,—,100
40.0,Counter,Fighting,,—,100
44.0,Double-Edge,Normal,,120,100
48.0,Head Smash,Rock,,150,80
