Lv.,Move,Type,Cat.,Power,Acc.
1.0,Absorb,Grass,,20,100
1.0,Flower Shield,Fairy,,—,—
1.0,Growth,Normal,,—,—
1.0,Pound,Normal,,40,100
4.0,Ingrain,Grass,,—,—
7.0,Grass Whistle,Grass,,—,55
10.0,Mega Drain,Grass,,40,100
13.0,Leech Seed,Grass,,—,90
16.0,Razor Leaf,Grass,,55,95
19.0,Worry Seed,Grass,,—,100
22.0,Giga Drain,Grass,,75,100
25.0,Bullet Seed,Grass,,25,100
28.0,Petal Dance,Grass,,120,100
31.0,Natural Gift,Normal,,—,100
34.0,Solar Beam,Grass,,120,100
37.0,Double-Edge,Normal,,120,100
40.0,Sunny Day,Fire,,—,—
43.0,Leaf Storm,Grass,,130,90
50.0,Petal Blizzard,Grass,,90,100
