Lv.,Move,Type,Cat.,Power,Acc.
1.0,Body Slam,Normal,,85,100
1.0,Gunk Shot,Poison,,120,80
1.0,Poison Gas,Poison,,—,90
1.0,Pound,Normal,,40,100
1.0,Sludge,Poison,,65,100
1.0,Venom Drench,Poison,,—,100
1.0,Wring Out,Normal,,—,100
1.0,Yawn,Normal,,—,—
5.0,Yawn,Normal,,—,—
8.0,Poison Gas,Poison,,—,90
10.0,Sludge,Poison,,65,100
12.0,Amnesia,Psychic,,—,—
17.0,Acid Spray,Poison,,40,100
20.0,Encore,Normal,,—,100
25.0,Toxic,Poison,,—,90
30.0,Spit Up,Normal,,—,100
30.0,Stockpile,Normal,,—,—
30.0,Swallow,Normal,,—,—
37.0,Sludge Bomb,Poison,,90,100
42.0,Gastro Acid,Poison,,—,100
49.0,Belch,Poison,,120,90
54.0,Wring Out,Normal,,—,100
61.0,Gunk Shot,Poison,,120,80
