Lv.,Move,Type,Cat.,Power,Acc.
1.0,Air Slash,Flying,,75,95
1.0,Brave Bird,Flying,,120,100
1.0,Focus Energy,Normal,,—,—
1.0,Growl,Normal,,—,100
1.0,Peck,Flying,,35,100
1.0,Pluck,Flying,,60,100
1.0,Quick Attack,Normal,,40,100
5.0,Focus Energy,Normal,,—,—
9.0,Quick Attack,Normal,,40,100
13.0,Wing Attack,Flying,,60,100
17.0,Double Team,Normal,,—,—
21.0,Aerial Ace,Flying,,60,∞
27.0,Quick Guard,Fighting,,—,—
33.0,Agility,Psychic,,—,—
39.0,Air Slash,Flying,,75,95
45.0,Endeavor,Normal,,—,100
51.0,Brave Bird,Flying,,120,100
57.0,Reversal,Fighting,,—,100
