Lv.,Move,Type,Cat.,Power,Acc.
1.0,Astonish,Ghost,,30,100
1.0,Hammer Arm,Fighting,,100,90
1.0,Nasty Plot,Dark,,—,—
1.0,Swagger,Normal,,—,85
1.0,Thrash,Normal,,120,100
1.0,Thunder Shock,Electric,,40,100
1.0,Uproar,Normal,,90,100
7.0,Bite,Dark,,60,100
13.0,Revenge,Fighting,,60,100
19.0,Shock Wave,Electric,,60,∞
25.0,Heal Block,Psychic,,—,100
31.0,Agility,Psychic,,—,—
37.0,Discharge,Electric,,80,100
43.0,Crunch,Dark,,80,100
49.0,Charge,Electric,,—,—
55.0,Nasty Plot,Dark,,—,—
61.0,Thunder,Electric,,110,70
67.0,Dark Pulse,Dark,,80,100
73.0,Hammer Arm,Fighting,,100,90
79.0,Thrash,Normal,,120,100
