Lv.,Move,Type,Cat.,Power,Acc.
1.0,After You,Normal,,—,—
1.0,Air Slash,Flying,,75,95
1.0,Ancient Power,Rock,,60,100
1.0,Aura Sphere,Fighting,,80,∞
1.0,Baton Pass,Normal,,—,—
1.0,Charm,Fairy,,—,100
1.0,Double-Edge,Normal,,120,100
1.0,Extreme Speed,Normal,,80,100
1.0,Fairy Wind,Fairy,,40,100
1.0,Follow Me,Normal,,—,—
1.0,Growl,Normal,,—,100
1.0,Last Resort,Normal,,140,100
1.0,Life Dew,Water,,—,—
1.0,Metronome,Normal,,—,—
1.0,Pound,Normal,,40,100
1.0,Safeguard,Normal,,—,—
1.0,Sky Attack,Flying,,140,90
1.0,Sweet Kiss,Fairy,,—,75
1.0,Tri Attack,Normal,,80,100
1.0,Wish,Normal,,—,—
1.0,Yawn,Normal,,—,—
