Lv.,Move,Type,Cat.,Power,Acc.
1.0,Ember,Fire,,40,100
1.0,Smog,Poison,,30,70
4.0,Withdraw,Water,,—,—
8.0,Rapid Spin,Normal,,50,100
12.0,Smokescreen,Normal,,—,100
16.0,Clear Smog,Poison,,50,—
20.0,Flame Wheel,Fire,,60,100
24.0,Protect,Normal,,—,—
28.0,Lava Plume,Fire,,80,100
32.0,Body Slam,Normal,,85,100
36.0,Iron Defense,Steel,,—,—
40.0,Flamethrower,Fire,,90,100
44.0,Curse,Ghost,,—,—
48.0,Heat Wave,Fire,,95,90
52.0,Amnesia,Psychic,,—,—
56.0,Inferno,Fire,,100,50
60.0,Shell Smash,Normal,,—,—
64.0,Eruption,Fire,,150,100
