Lv.,Move,Type,Cat.,Power,Acc.
1.0,Astonish,Ghost,,30,100
1.0,Gust,Flying,,40,100
1.0,Hammer Arm,Fighting,,100,90
1.0,Hurricane,Flying,,110,70
1.0,Swagger,Normal,,—,85
1.0,Thrash,Normal,,120,100
1.0,Uproar,Normal,,90,100
7.0,Bite,Dark,,60,100
13.0,Revenge,Fighting,,60,100
19.0,Air Cutter,Flying,,60,95
25.0,Extrasensory,Psychic,,80,100
31.0,Agility,Psychic,,—,—
37.0,Air Slash,Flying,,75,95
43.0,Crunch,Dark,,80,100
49.0,Tailwind,Flying,,—,—
55.0,Rain Dance,Water,,—,—
61.0,Hurricane,Flying,,110,70
67.0,Dark Pulse,Dark,,80,100
73.0,Hammer Arm,Fighting,,100,90
79.0,Thrash,Normal,,120,100
