Lv.,Move,Type,Cat.,Power,Acc.
1.0,Agility,Psychic,,—,—
1.0,Confusion,Psychic,,50,100
1.0,Disable,Normal,,—,100
1.0,Gust,Flying,,40,100
1.0,Screech,Normal,,—,85
1.0,Supersonic,Normal,,—,55
1.0,Tackle,Normal,,40,100
4.0,Disable,Normal,,—,100
8.0,Supersonic,Normal,,—,55
12.0,Confusion,Psychic,,50,100
14.0,Poison Powder,Poison,,—,75
16.0,Stun Spore,Grass,,—,75
20.0,Psybeam,Psychic,,65,100
24.0,Sleep Powder,Grass,,—,75
28.0,Leech Life,Bug,,80,100
37.0,Psychic,Psychic,,90,100
46.0,Bug Buzz,Bug,,90,100
55.0,Quiver Dance,Bug,,—,—
