Lv.,Move,Type,Cat.,Power,Acc.
1.0,Growl,Normal,,—,100
1.0,Growth,Normal,,—,—
1.0,Petal Blizzard,Grass,,90,100
1.0,Petal Dance,Grass,,120,100
1.0,Tackle,Normal,,40,100
1.0,Vine Whip,Grass,,45,100
9.0,Leech Seed,Grass,,—,90
12.0,Razor Leaf,Grass,,55,95
15.0,Poison Powder,Poison,,—,75
15.0,Sleep Powder,Grass,,—,75
20.0,Seed Bomb,Grass,,80,100
25.0,Take Down,Normal,,90,85
30.0,Sweet Scent,Normal,,—,100
37.0,Synthesis,Grass,,—,—
44.0,Worry Seed,Grass,,—,100
51.0,Double-Edge,Normal,,120,100
58.0,Solar Beam,Grass,,120,100
