Lv.,Move,Type,Cat.,Power,Acc.
1.0,Bug Bite,Bug,,60,100
1.0,Confuse Ray,Ghost,,—,100
1.0,Gust,Flying,,40,100
1.0,Poison Sting,Poison,,15,100
1.0,Slash,Normal,,70,100
1.0,Struggle Bug,Bug,,50,100
1.0,Sweet Scent,Normal,,—,100
4.0,Fury Cutter,Bug,,40,95
8.0,Aromatic Mist,Fairy,,—,—
12.0,Fell Stinger,Bug,,50,100
16.0,Fury Swipes,Normal,,18,80
20.0,Swagger,Normal,,—,85
24.0,Aromatherapy,Grass,,—,—
28.0,Air Slash,Flying,,75,95
32.0,Power Gem,Rock,,80,100
36.0,Toxic,Poison,,—,90
40.0,Attack Order,Bug,,90,100
40.0,Defend Order,Bug,,—,—
44.0,Destiny Bond,Ghost,,—,—
