Lv.,Move,Type,Cat.,Power,Acc.
1.0,Astonish,Ghost,,30,100
1.0,Bite,Dark,,60,100
1.0,Bulldoze,Ground,,60,100
1.0,Crunch,Dark,,80,100
1.0,Dig,Ground,,80,100
1.0,Dragon Breath,Dragon,,60,100
1.0,Fissure,Ground,,—,30
1.0,Laser Focus,Normal,,—,—
1.0,Sand Attack,Ground,,—,100
1.0,Superpower,Fighting,,120,100
1.0,Supersonic,Normal,,—,55
12.0,Mud-Slap,Ground,,20,100
16.0,Sand Tomb,Ground,,35,85
20.0,Dragon Tail,Dragon,,60,90
24.0,Screech,Normal,,—,85
28.0,Bug Buzz,Bug,,90,100
32.0,Sandstorm,Rock,,—,—
38.0,Earth Power,Ground,,90,100
44.0,Earthquake,Ground,,100,100
50.0,Uproar,Normal,,90,100
56.0,Dragon Rush,Dragon,,100,75
62.0,Boomburst,Normal,,140,100
