Lv.,Move,Type,Cat.,Power,Acc.
1.0,Confusion,Psychic,,50,100
1.0,Focus Energy,Normal,,—,—
1.0,Incinerate,Fire,,60,100
1.0,Quick Attack,Normal,,40,100
1.0,Searing Shot,Fire,,100,100
9.0,Endure,Normal,,—,—
17.0,Headbutt,Normal,,70,100
25.0,Flame Charge,Fire,,50,100
33.0,Reversal,Fighting,,—,100
41.0,Flame Burst,Fire,,70,100
49.0,Zen Headbutt,Psychic,,80,90
57.0,Inferno,Fire,,100,50
65.0,Double-Edge,Normal,,120,100
73.0,Flare Blitz,Fire,,120,100
81.0,Final Gambit,Fighting,,—,100
89.0,Stored Power,Psychic,,20,100
97.0,Overheat,Fire,,130,90
