Lv.,Move,Type,Cat.,Power,Acc.
1.0,Double-Edge,Normal,,120,100
1.0,Ember,Fire,,40,100
1.0,Fiery Dance,Fire,,80,100
1.0,Fire Spin,Fire,,35,85
1.0,Flame Charge,Fire,,50,100
1.0,Flare Blitz,Fire,,120,100
1.0,Gust,Flying,,40,100
1.0,Quiver Dance,Bug,,—,—
1.0,String Shot,Bug,,—,95
1.0,Struggle Bug,Bug,,50,100
1.0,Take Down,Normal,,90,85
1.0,Whirlwind,Normal,,—,—
18.0,Flame Wheel,Fire,,60,100
24.0,Bug Bite,Bug,,60,100
30.0,Screech,Normal,,—,85
36.0,Leech Life,Bug,,80,100
42.0,Bug Buzz,Bug,,90,100
48.0,Heat Wave,Fire,,95,90
54.0,Amnesia,Psychic,,—,—
62.0,Hurricane,Flying,,110,70
70.0,Fire Blast,Fire,,110,85
78.0,Rage Powder,Bug,,—,—
