Lv.,Move,Type,Cat.,Power,Acc.
1.0,Astonish,Ghost,,30,100
1.0,Growl,Normal,,—,100
1.0,Noble Roar,Normal,,—,100
1.0,Soak,Water,,—,100
1.0,Splash,Normal,,—,—
1.0,Water Gun,Water,,40,100
15.0,Mist,Ice,,—,—
18.0,Water Pulse,Water,,60,100
21.0,Heavy Slam,Steel,,—,100
24.0,Brine,Water,,65,100
27.0,Whirlpool,Water,,35,85
30.0,Dive,Water,,80,100
33.0,Bounce,Flying,,85,85
36.0,Body Slam,Normal,,85,100
39.0,Rest,Psychic,,—,—
44.0,Amnesia,Psychic,,—,—
49.0,Hydro Pump,Water,,110,80
54.0,Water Spout,Water,,150,100
