Lv.,Move,Type,Cat.,Power,Acc.
1.0,Bite,Dark,,60,100
1.0,Confuse Ray,Ghost,,—,100
1.0,Leer,Normal,,—,100
1.0,Low Kick,Fighting,,—,100
1.0,Rototiller,Ground,,—,—
1.0,Tackle,Normal,,40,100
3.0,Leer,Normal,,—,100
6.0,Bite,Dark,,60,100
8.0,Bide,Normal,,—,—
11.0,Detect,Fighting,,—,—
13.0,Sand Attack,Ground,,—,100
16.0,Crunch,Dark,,80,100
18.0,Hypnosis,Psychic,,—,60
22.0,Super Fang,Normal,,—,90
25.0,After You,Normal,,—,—
29.0,Focus Energy,Normal,,—,—
32.0,Psych Up,Normal,,—,—
36.0,Hyper Fang,Normal,,80,90
39.0,Nasty Plot,Dark,,—,—
43.0,Mean Look,Normal,,—,—
46.0,Baton Pass,Normal,,—,—
50.0,Slam,Normal,,80,75
