Lv.,Move,Type,Cat.,Power,Acc.
1.0,Absorb,Grass,,20,100
1.0,Charm,Fairy,,—,100
1.0,Cotton Guard,Grass,,—,—
1.0,Cotton Spore,Grass,,—,100
1.0,Endeavor,Normal,,—,100
1.0,Energy Ball,Grass,,90,100
1.0,Fairy Wind,Fairy,,40,100
1.0,Giga Drain,Grass,,75,100
1.0,Growth,Normal,,—,—
1.0,Gust,Flying,,40,100
1.0,Helping Hand,Normal,,—,—
1.0,Hurricane,Flying,,110,70
1.0,Leech Seed,Grass,,—,90
1.0,Mega Drain,Grass,,40,100
1.0,Memento,Dark,,—,100
1.0,Moonblast,Fairy,,95,100
1.0,Poison Powder,Poison,,—,75
1.0,Razor Leaf,Grass,,55,95
1.0,Solar Beam,Grass,,120,100
1.0,Stun Spore,Grass,,—,75
1.0,Sunny Day,Fire,,—,—
1.0,Tailwind,Flying,,—,—
