Lv.,Move,Type,Cat.,Power,Acc.
1.0,Bug Bite,Bug,,60,100
1.0,Protect,Normal,,—,—
1.0,Quiver Dance,Bug,,—,—
1.0,Sucker Punch,Dark,,70,100
1.0,Tackle,Normal,,40,100
10.0,Protect,Normal,,—,—
15.0,Bug Bite,Bug,,60,100
20.0,Hidden Power,Normal,,60,100
23.0,Confusion,Psychic,,50,100
26.0,Razor Leaf,Grass,,55,95
29.0,Growth,Normal,,—,—
32.0,Psybeam,Psychic,,65,100
35.0,Captivate,Normal,,—,100
38.0,Flail,Normal,,—,100
41.0,Attract,Normal,,—,100
44.0,Psychic,Psychic,,90,100
47.0,Leaf Storm,Grass,,130,90
50.0,Bug Buzz,Bug,,90,100
