Lv.,Move,Type,Cat.,Power,Acc.
1.0,Air Slash,Flying,,75,95
1.0,Bug Bite,Bug,,60,100
1.0,Bug Buzz,Bug,,90,100
1.0,Double Team,Normal,,—,—
1.0,Foresight,Normal,,—,—
1.0,Night Slash,Dark,,70,100
1.0,Quick Attack,Normal,,40,100
1.0,Tackle,Normal,,40,100
6.0,Quick Attack,Normal,,40,100
11.0,Double Team,Normal,,—,—
14.0,Sonic Boom,Normal,,—,90
17.0,Detect,Fighting,,—,—
22.0,Supersonic,Normal,,—,55
27.0,Uproar,Normal,,90,100
30.0,Pursuit,Dark,,40,100
33.0,Ancient Power,Rock,,60,100
38.0,Feint,Normal,,30,100
43.0,Slash,Normal,,70,100
46.0,Screech,Normal,,—,85
49.0,U-turn,Bug,,70,100
54.0,Air Slash,Flying,,75,95
57.0,Bug Buzz,Bug,,90,100
