Lv.,Move,Type,Cat.,Power,Acc.
1.0,Charge,Electric,,—,—
1.0,Ion Deluge,Electric,,—,—
1.0,Quick Attack,Normal,,40,100
1.0,Tail Whip,Normal,,—,100
1.0,Thunder Wave,Electric,,—,90
4.0,Tail Whip,Normal,,—,100
8.0,Charge,Electric,,—,—
11.0,Shock Wave,Electric,,60,∞
15.0,Thunder Wave,Electric,,—,90
18.0,Flame Charge,Fire,,50,100
22.0,Pursuit,Dark,,40,100
25.0,Spark,Electric,,65,100
31.0,Stomp,Normal,,65,100
36.0,Discharge,Electric,,80,100
42.0,Agility,Psychic,,—,—
47.0,Wild Charge,Electric,,90,100
53.0,Thrash,Normal,,120,100
58.0,Ion Deluge,Electric,,—,—
